run_id,run_dir,provider,model,judge_mode,hybrid_fallback,prompt_path,ui_snapshot_path,agent,n,candidate_n_configured,candidate_n,candidate_n_requested,cost_units_per_sim,llm_calls_total,llm_calls_simulation,llm_calls_judge,temperature,candidate_temperature,judge_temperature,success_rate,avg_time_s,avg_sus,avg_csat,avg_ces,avg_nps,avg_friction_count,rule_steps_ok_rate,rule_friction_ok_rate,rule_heart_ok_rate,rule_words_ok_rate,friction_prefix_ok_rate,avg_grounding_rate,avg_hallucination_proxy,fabrication_proxy_threshold,fabrication_proxy_rate,quality_score,quality_per_cost
ablation_ux_hq_v2_hybrid_n2_t03_20260220_072948,reports/ux/runs/ablation_ux_hq_v2_hybrid_n2_t03_20260220_072948,azure,gpt-5.2,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,hybrid,60,2,0.0,2.0,6.0,6.0,6.0,0.0,0.2,0.3,0.0,0.0,158.5,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.4,0.0667
ablation_ux_hq_v3_hybrid_sts_auto_n2_t03_20260220_072948,reports/ux/runs/ablation_ux_hq_v3_hybrid_sts_auto_n2_t03_20260220_072948,azure,gpt-5.2,auto,anchoring_aware,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,hybrid,60,2,0.0,2.0,6.0,6.0,6.0,0.0,0.2,0.3,0.0,0.0,158.5,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.4,0.0667
ablation_ux_hq_v2_single_20260220_072948,reports/ux/runs/ablation_ux_hq_v2_single_20260220_072948,azure,gpt-5.2,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,single_pass,60,1,0.0,1.0,2.0,2.0,2.0,0.0,0.2,,,0.0,158.5,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.4,0.2
ablation_ux_hq_v2_wts_n2_t03_20260220_072948,reports/ux/runs/ablation_ux_hq_v2_wts_n2_t03_20260220_072948,azure,gpt-5.2,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,write_then_score,60,2,0.0,2.0,4.0,4.0,4.0,0.0,0.2,0.3,0.0,0.0,158.5,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.4,0.1
ablation_ux_hq_v3_wts_auto_n2_t03_20260220_072948,reports/ux/runs/ablation_ux_hq_v3_wts_auto_n2_t03_20260220_072948,azure,gpt-5.2,auto,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,write_then_score,60,2,0.0,2.0,4.0,4.0,4.0,0.0,0.2,0.3,0.0,0.0,158.5,50.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.4,0.1
