run_id,run_dir,provider,model,judge_mode,hybrid_fallback,prompt_path,ui_snapshot_path,agent,n,candidate_n_configured,candidate_n,candidate_n_requested,cost_units_per_sim,llm_calls_total,llm_calls_simulation,llm_calls_judge,temperature,candidate_temperature,judge_temperature,success_rate,avg_time_s,avg_sus,avg_csat,avg_ces,avg_nps,avg_friction_count,rule_steps_ok_rate,rule_friction_ok_rate,rule_heart_ok_rate,rule_words_ok_rate,friction_prefix_ok_rate,avg_grounding_rate,avg_hallucination_proxy,fabrication_proxy_threshold,fabrication_proxy_rate,quality_score,quality_per_cost
ablation_ux_cq_rerun_gpt41_v2_hybrid_n2_t07_20260515_083706,reports/ux/runs/ablation_ux_cq_rerun_gpt41_v2_hybrid_n2_t07_20260515_083706,azure,gpt-4.1,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,hybrid,60,2,0.6333,1.7833,5.15,5.15,4.7667,0.3833,0.2,0.7,0.0,0.6,118.5,45.5833,3.6,3.4,7.0,0.6,0.6,0.6,0.6,1.0,0.6,0.0703,0.9297,0.25,0.9833,0.7256,0.1409
ablation_ux_cq_rerun_gpt41_v3_hybrid_sts_auto_n2_t07_20260515_083706,reports/ux/runs/ablation_ux_cq_rerun_gpt41_v3_hybrid_sts_auto_n2_t07_20260515_083706,azure,gpt-4.1,auto,anchoring_aware,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,hybrid,60,2,0.65,1.7,4.4833,4.4833,4.4833,0.0,0.2,0.7,0.0,0.6,121.5,45.375,3.5833,3.4333,6.9667,0.6,0.6,0.6,0.6,1.0,0.6,0.0752,0.9248,0.25,0.9833,0.7254,0.1618
ablation_ux_cq_rerun_gpt41_v2_single_20260515_083706,reports/ux/runs/ablation_ux_cq_rerun_gpt41_v2_single_20260515_083706,azure,gpt-4.1,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,single_pass,60,1,0.2333,1.0,1.8833,1.8833,1.8833,0.0,0.2,,,0.2333,147.5,48.0833,3.2333,3.7667,7.0,0.2333,0.2333,0.2333,0.2333,1.0,0.2333,0.0369,0.9631,0.25,0.9833,0.5264,0.2795
ablation_ux_cq_rerun_gpt41_v2_wts_n2_t07_20260515_083706,reports/ux/runs/ablation_ux_cq_rerun_gpt41_v2_wts_n2_t07_20260515_083706,azure,gpt-4.1,llm,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,write_then_score,60,2,0.75,2.0,4.1833,4.1833,3.6167,0.5667,0.2,0.7,0.0,0.5667,119.0,45.875,3.5667,3.4833,7.0,0.5667,0.5667,0.5667,0.5667,1.0,0.5667,0.0643,0.9357,0.25,1.0,0.7075,0.1691
ablation_ux_cq_rerun_gpt41_v3_wts_auto_n2_t07_20260515_083706,reports/ux/runs/ablation_ux_cq_rerun_gpt41_v3_wts_auto_n2_t07_20260515_083706,azure,gpt-4.1,auto,write_then_score,configs/prompts/ux_simulation_v2.md,configs/ux/ui_snapshot_v1.md,write_then_score,60,2,0.8167,2.0,3.5333,3.5333,3.5333,0.0,0.2,0.7,0.0,0.6,124.0,46.125,3.6,3.4167,7.0,0.6,0.6,0.6,0.6,1.0,0.6,0.0719,0.9281,0.25,1.0,0.7261,0.2055
